Name,Party,Location 1,Grade Level (since 1996),Grade Level (112th Congress),Years in Congress,DW1 Score
Rep. Mike Honda,D,"CA (37.638300000444815, -120.99958999997835)",13.32334496,12.46864133,11,-0.574
Sen. Tim Johnson,D,"SD (44.353130000049646, -100.37353000040906)",13.33949659,13.07535805,13,-0.269
Sen. Mark Udall,D,"CO (38.842890000173554, -106.13314000041055)",13.34580955,12.29453879,3,-0.394
Rep. Leonard Lance,R,"NJ (40.13056999960594, -74.2736899996936)",13.39117219,12.24581972,3,0.258
Sen. Richard Lugar,R,"IN (39.76690999989677, -86.14996000035359)",13.41510394,14.42326467,33,0.322
Sen. Joseph Lieberman,I,"CT (41.56265999995918, -72.6498400002157)",13.46825345,12.95536381,21,-0.223
Rep. Pete Visclosky,D,"IN (39.76690999989677, -86.14996000035359)",13.49866694,12.79787508,27,-0.418
Rep. Gerry Connolly,D,"VA (37.54268000028196, -78.45789000012326)",13.5455154,13.65915851,3,-0.306
Rep. Gary Peters,D,"MI (44.661320000317914, -84.71438999959867)",13.63128815,13.38863689,3,-0.246
Rep. Mary Bono Mack,R,"CA (37.638300000444815, -120.99958999997835)",13.6335146,13.76037993,15,0.34
Rep. Jim Sensenbrenner,R,"WI (44.39319000021851, -89.8163600002137)",13.69396284,11.56066479,33,0.647
Rep. Ralph Hall,R,"TX (31.82724000022597, -99.42676999973554)",13.73611567,12.12088967,31,0.44
Rep. Mark Amodei,R,"NV (39.49323999972637, -117.07183999971608)",13.83082922,13.83082922,1,0.479
Rep. Rodney Alexander,R,"LA (31.312679999782347, -92.44565000034709)",13.94467894,13.40925857,1,0.366
Sen. Olympia Snowe,R,"ME (45.25423000041434, -68.9850299999344)",14.02189714,13.80125838,15,0.085
Rep. Mac Thornberry,R,"TX (31.82724000022597, -99.42676999973554)",14.13497702,10.88663711,17,0.561
Sen. Daniel Akaka,D,"HI (21.304770000335395, -157.85761000030112)",14.18339735,15.05117281,19,-0.444
Rep. Tom Petri,R,"WI (44.39319000021851, -89.8163600002137)",14.18629418,12.29116075,33,0.354
Rep. Jim Gerlach,R,"PA (40.79372999993973, -77.86069999960512)",14.19092269,15.65222025,9,0.209
Rep. Lucille Roybal-Allard,D,"CA (37.638300000444815, -120.99958999997835)",14.93911003,14.42191189,19,-0.508
Rep. Dan Lungren,R,"CA (37.638300000444815, -120.99958999997835)",16.01390263,20.46577636,7,0.504
Name,Party,"state",,,,
